release_date,title,character
"March 14, 1978",Thor Vol 1 272,Thor Odinson (Earth-616)
"March 21, 1978",Avengers Vol 1 172,Thor Odinson (Earth-616)
"March 28, 1978",Iron Man Vol 1 111,Thor Odinson (Earth-616)
"March 28, 1978",Marvel Premiere Vol 1 42,Thor Odinson (Earth-616)
"March 28, 1978",Marvel Team-Up Vol 1 70,Thor Odinson (Earth-616)
"April 11, 1978",Thor Vol 1 273,Thor Odinson (Earth-616)
"March 28, 1978",What If? Vol 1 9,Thor Odinson (Earth-616)
"April 25, 1978",Captain Marvel Vol 1 57,Thor Odinson (Earth-616)
"April 18, 1978",Avengers Vol 1 173,Thor Odinson (Earth-616)
"May 9, 1978",Captain America Vol 1 224,Thor Odinson (Earth-616)
"May 16, 1978",Avengers Vol 1 174,Thor Odinson (Earth-616)
"May 9, 1978",Thor Vol 1 274,Thor Odinson (Earth-616)
"June 20, 1978",Invaders Vol 1 32,Thor Odinson (Earth-616)
"June 20, 1978",Thor Annual Vol 1 7,Thor Odinson (Earth-616)
"June 20, 1978",Thor Vol 1 275,Thor Odinson (Earth-616)
"June 27, 1978",Avengers Vol 1 175,Thor Odinson (Earth-616)
"July 18, 1978",Invaders Vol 1 33,Thor Odinson (Earth-616)
"July 18, 1978",Thor Vol 1 276,Thor Odinson (Earth-616)
"July 25, 1978",Avengers Vol 1 176,Thor Odinson (Earth-616)
"August 15, 1978",Avengers Vol 1 177,Thor Odinson (Earth-616)
"August 15, 1978",Thor Vol 1 277,Thor Odinson (Earth-616)
"September 12, 1978",Captain America Vol 1 228,Thor Odinson (Earth-616)
"October 3, 1978",Avengers Annual Vol 1 8,Thor Odinson (Earth-616)
"September 12, 1978",Thor Vol 1 278,Thor Odinson (Earth-616)
"October 10, 1978",Thor Vol 1 279,Thor Odinson (Earth-616)
"October 10, 1978",Captain America Vol 1 229,Thor Odinson (Earth-616)
"October 17, 1978",Avengers Vol 1 179,Thor Odinson (Earth-616)
"November 7, 1978",Thor Vol 1 280,Thor Odinson (Earth-616)
"November 14, 1978",Avengers Vol 1 180,Thor Odinson (Earth-616)
"December 5, 1978",Thor Vol 1 281,Thor Odinson (Earth-616)
"December 12, 1978",Avengers Vol 1 181,Thor Odinson (Earth-616)
"January 9, 1979",Thor Vol 1 282,Thor Odinson (Earth-616)
"February 6, 1979",Thor Vol 1 283,Thor Odinson (Earth-616)
"February 20, 1979",Iron Man Vol 1 122,Thor Odinson (Earth-616)
"March 13, 1979",Thor Vol 1 284,Thor Odinson (Earth-616)
"March 20, 1979",Godzilla Vol 1 23,Thor Odinson (Earth-616)
"March 27, 1979",What If? Vol 1 15,Thor Odinson (Earth-616)
"April 17, 1979",Godzilla Vol 1 24,Thor Odinson (Earth-616)
"April 10, 1979",Thor Vol 1 285,Thor Odinson (Earth-616)
"May 8, 1979",Thor Vol 1 286,Thor Odinson (Earth-616)
"November 20, 1979",X-Men Annual Vol 1 3,Thor Odinson (Earth-616)
"July 24, 1979",Avengers Annual Vol 1 9,Thor Odinson (Earth-616)
"June 19, 1979",Thor Vol 1 287,Thor Odinson (Earth-616)
"July 10, 1979",Thor Vol 1 288,Thor Odinson (Earth-616)
"August 14, 1979",Thor Vol 1 289,Thor Odinson (Earth-616)
"August 21, 1979",Avengers Vol 1 189,Thor Odinson (Earth-616)
"August 28, 1979",Thor Annual Vol 1 8,Thor Odinson (Earth-616)
"September 4, 1979",Marvel Two-In-One Vol 1 58,Thor Odinson (Earth-616)
"September 11, 1979",Thor Vol 1 290,Thor Odinson (Earth-616)
"November 13, 1979",Thor Vol 1 292,Thor Odinson (Earth-616)
"October 9, 1979",Thor Vol 1 291,Thor Odinson (Earth-616)
"December 11, 1979",Thor Vol 1 293,Thor Odinson (Earth-616)
"February 5, 1980",Daredevil Vol 1 164,Thor Odinson (Earth-616)
"January 8, 1980",Thor Vol 1 294,Thor Odinson (Earth-616)
"February 12, 1980",Thor Vol 1 295,Thor Odinson (Earth-616)
"March 11, 1980",Thor Vol 1 296,Thor Odinson (Earth-616)
"May 20, 1980",Epic Illustrated Vol 1 2,Thor Odinson (Earth-616)
"April 8, 1980",Thor Vol 1 297,Thor Odinson (Earth-616)
"May 13, 1980",Thor Vol 1 298,Thor Odinson (Earth-616)
"June 3, 1980",Marvel Two-In-One Vol 1 67,Thor Odinson (Earth-616)
"June 10, 1980",Thor Vol 1 299,Thor Odinson (Earth-616)
"July 8, 1980",Thor Vol 1 300,Thor Odinson (Earth-616)
"July 15, 1980",Avengers Vol 1 200,Thor Odinson (Earth-616)
"August 12, 1980",Captain America Vol 1 251,Thor Odinson (Earth-616)
"August 12, 1980",Thor Vol 1 301,Thor Odinson (Earth-616)
"August 19, 1980",Avengers Vol 1 201,Thor Odinson (Earth-616)
"September 9, 1980",Thor Vol 1 302,Thor Odinson (Earth-616)
"September 16, 1980",Avengers Vol 1 202,Thor Odinson (Earth-616)
"September 23, 1980",Fantastic Four Vol 1 225,Thor Odinson (Earth-616)
"October 14, 1980",Thor Vol 1 303,Thor Odinson (Earth-616)
"October 21, 1980",Incredible Hulk Vol 1 255,Thor Odinson (Earth-616)
"November 11, 1980",Thor Vol 1 304,Thor Odinson (Earth-616)
"December 9, 1980",Thor Vol 1 305,Thor Odinson (Earth-616)
"January 6, 1981",Thor Vol 1 306,Thor Odinson (Earth-616)
"February 10, 1981",Thor Vol 1 307,Thor Odinson (Earth-616)
"February 24, 1981",Fantastic Four Vol 1 230,Thor Odinson (Earth-616)
"March 10, 1981",Thor Vol 1 308,Thor Odinson (Earth-616)
"April 7, 1981",Thor Vol 1 309,Thor Odinson (Earth-616)
"May 5, 1981",Thor Vol 1 310,Thor Odinson (Earth-616)
"May 12, 1981",Avengers Vol 1 210,Thor Odinson (Earth-616)
"June 2, 1981",Captain America Vol 1 261,Thor Odinson (Earth-616)
"June 9, 1981",Avengers Vol 1 211,Thor Odinson (Earth-616)
"June 2, 1981",Thor Vol 1 311,Thor Odinson (Earth-616)
"July 7, 1981",Captain America Vol 1 262,Thor Odinson (Earth-616)
"July 7, 1981",Thor Vol 1 312,Thor Odinson (Earth-616)
"July 14, 1981",Avengers Vol 1 212,Thor Odinson (Earth-616)
"August 4, 1981",Avengers Annual Vol 1 10,Thor Odinson (Earth-616)
"August 4, 1981",Thor Annual Vol 1 9,Thor Odinson (Earth-616)
"August 4, 1981",Thor Vol 1 313,Thor Odinson (Earth-616)
"August 11, 1981",Avengers Vol 1 213,Thor Odinson (Earth-616)
"September 1, 1981",Thor Vol 1 314,Thor Odinson (Earth-616)
"September 8, 1981",Avengers Vol 1 214,Thor Odinson (Earth-616)
"September 22, 1981",Thor Vol 1 315,Thor Odinson (Earth-616)
"October 13, 1981",Avengers Vol 1 215,Thor Odinson (Earth-616)
"November 3, 1981",Thor Vol 1 316,Thor Odinson (Earth-616)
"November 17, 1981",Avengers Vol 1 216,Thor Odinson (Earth-616)
"December 1, 1981",Thor Vol 1 317,Thor Odinson (Earth-616)
"December 8, 1981",Avengers Vol 1 217,Thor Odinson (Earth-616)
"December 15, 1981",Marvel Team-Up Vol 1 115,Thor Odinson (Earth-616)
"January 10, 1982",Death of Captain Marvel Vol 1 1,Thor Odinson (Earth-616)
"January 5, 1982",Thor Vol 1 318,Thor Odinson (Earth-616)
"January 12, 1982",Avengers Vol 1 218,Thor Odinson (Earth-616)
"January 19, 1982",Marvel Team-Up Vol 1 116,Thor Odinson (Earth-616)
"February 2, 1982",Thor Vol 1 319,Thor Odinson (Earth-616)
"February 9, 1982",Avengers Vol 1 219,Thor Odinson (Earth-616)
"February 16, 1982",Defenders Vol 1 107,Thor Odinson (Earth-616)
"February 16, 1982",Fantastic Four Vol 1 242,Thor Odinson (Earth-616)
"March 2, 1982",Thor Vol 1 320,Thor Odinson (Earth-616)
"March 9, 1982",Avengers Vol 1 220,Thor Odinson (Earth-616)
"March 9, 1982",Fantastic Four Vol 1 243,Thor Odinson (Earth-616)
"March 9, 1982",Marvel Super Hero Contest of Champions Vol 1 1,Thor Odinson (Earth-616)
"March 30, 1982",Micronauts Vol 1 43,Thor Odinson (Earth-616)
"March 30, 1982",Thor Vol 1 321,Thor Odinson (Earth-616)
"April 13, 1982",Defenders Vol 1 109,Thor Odinson (Earth-616)
"April 6, 1982",Avengers Vol 1 221,Thor Odinson (Earth-616)
"April 13, 1982",Fantastic Four Vol 1 244,Thor Odinson (Earth-616)
"May 4, 1982",Thor Vol 1 322,Thor Odinson (Earth-616)
"May 11, 1982",Avengers Vol 1 222,Thor Odinson (Earth-616)
"May 18, 1982",Marvel Super Hero Contest of Champions Vol 1 3,Thor Odinson (Earth-616)
"May 25, 1982",Bizarre Adventures Vol 1 32,Thor Odinson (Earth-616)
"June 1, 1982",Thor Vol 1 323,Thor Odinson (Earth-616)
"June 22, 1982",Marvel Two-In-One Annual Vol 1 7,Thor Odinson (Earth-616)
"June 22, 1982",Marvel Two-In-One Vol 1 92,Thor Odinson (Earth-616)
"June 29, 1982",Thor Vol 1 324,Thor Odinson (Earth-616)
"July 6, 1982",Avengers Vol 1 224,Thor Odinson (Earth-616)
"August 17, 1982",Thor Annual Vol 1 10,Thor Odinson (Earth-616)
"August 31, 1982",Amazing Spider-Man Annual Vol 1 16,Thor Odinson (Earth-616)
"August 31, 1982",Avengers Annual Vol 1 11,Thor Odinson (Earth-616)
"July 27, 1982",Dazzler Vol 1 21,Thor Odinson (Earth-616)
"August 3, 1982",Avengers Vol 1 225,Thor Odinson (Earth-616)
"August 3, 1982",Thor Vol 1 325,Thor Odinson (Earth-616)
"August 10, 1982",Incredible Hulk Vol 1 277,Thor Odinson (Earth-616)
"August 31, 1982",Thor Vol 1 326,Thor Odinson (Earth-616)
"September 7, 1982",Avengers Vol 1 226,Thor Odinson (Earth-616)
"September 7, 1982",Incredible Hulk Vol 1 278,Thor Odinson (Earth-616)
"October 5, 1982",Thor Vol 1 327,Thor Odinson (Earth-616)
"October 12, 1982",Incredible Hulk Vol 1 279,Thor Odinson (Earth-616)
"October 12, 1982",Avengers Vol 1 227,Thor Odinson (Earth-616)
"October 12, 1982",Vision and the Scarlet Witch Vol 1 3,Thor Odinson (Earth-616)
"November 2, 1982",Thor Vol 1 328,Thor Odinson (Earth-616)
"October 26, 1982",Marvel Two-In-One Vol 1 96,Thor Odinson (Earth-616)
"November 9, 1982",Avengers Vol 1 228,Thor Odinson (Earth-616)
"November 30, 1982",Thor Vol 1 329,Thor Odinson (Earth-616)
"December 7, 1982",Avengers Vol 1 229,Thor Odinson (Earth-616)
"December 7, 1982",Incredible Hulk Vol 1 281,Thor Odinson (Earth-616)
"January 4, 1983",Thor Vol 1 330,Thor Odinson (Earth-616)
"January 11, 1983",Avengers Vol 1 230,Thor Odinson (Earth-616)
"January 11, 1983",Incredible Hulk Vol 1 282,Thor Odinson (Earth-616)
"February 1, 1983",Thor Vol 1 331,Thor Odinson (Earth-616)
"February 8, 1983",Avengers Vol 1 231,Thor Odinson (Earth-616)
"February 8, 1983",Incredible Hulk Vol 1 283,Thor Odinson (Earth-616)
"March 1, 1983",Thor Vol 1 332,Thor Odinson (Earth-616)
"March 8, 1983",Avengers Vol 1 232,Thor Odinson (Earth-616)
"March 8, 1983",Incredible Hulk Vol 1 284,Thor Odinson (Earth-616)
"March 29, 1983",Thor Vol 1 333,Thor Odinson (Earth-616)
"April 5, 1983",Avengers Vol 1 233,Thor Odinson (Earth-616)
"April 12, 1983",Fantastic Four Vol 1 256,Thor Odinson (Earth-616)
"May 10, 1983",Avengers Vol 1 234,Thor Odinson (Earth-616)
"May 3, 1983",Thor Vol 1 334,Thor Odinson (Earth-616)
"May 17, 1983",Defenders Vol 1 122,Thor Odinson (Earth-616)
"May 31, 1983",Thor Vol 1 335,Thor Odinson (Earth-616)
"July 5, 1983",Thor Vol 1 336,Thor Odinson (Earth-616)
"August 2, 1983",Thor Vol 1 337,Thor Odinson (Earth-616)
"August 16, 1983",Defenders Vol 1 125,Thor Odinson (Earth-616)
"August 16, 1983",Thor Annual Vol 1 11,Thor Odinson (Earth-616)
"September 27, 1983",Avengers Annual Vol 1 12,Thor Odinson (Earth-616)
"August 30, 1983",Thor Vol 1 338,Thor Odinson (Earth-616)
"October 4, 1983",Captain America Vol 1 289,Thor Odinson (Earth-616)
"October 4, 1983",Thor Vol 1 339,Thor Odinson (Earth-616)
"November 1, 1983",Thor Vol 1 340,Thor Odinson (Earth-616)
"November 8, 1983",Avengers Vol 1 240,Thor Odinson (Earth-616)
"November 29, 1983",Thor Vol 1 341,Thor Odinson (Earth-616)
"January 3, 1984",Captain America Vol 1 292,Thor Odinson (Earth-616)
"January 3, 1984",Thor Vol 1 342,Thor Odinson (Earth-616)
"January 10, 1984",Avengers Vol 1 242,Thor Odinson (Earth-616)
"January 17, 1984",What If? Vol 1 44,Thor Odinson (Earth-616)
"January 24, 1984",Marvel Super Heroes Secret Wars Vol 1 1,Thor Odinson (Earth-616)
"January 31, 1984",Amazing Spider-Man Vol 1 252,Thor Odinson (Earth-616)
"January 31, 1984",Thor Vol 1 343,Thor Odinson (Earth-616)
"February 7, 1984",Avengers Vol 1 243,Thor Odinson (Earth-616)
"February 14, 1984",Iron Man Vol 1 182,Thor Odinson (Earth-616)
"February 28, 1984",Marvel Super Heroes Secret Wars Vol 1 2,Thor Odinson (Earth-616)
"February 28, 1984",Thor Vol 1 344,Thor Odinson (Earth-616)
"April 3, 1984",Thor Vol 1 345,Thor Odinson (Earth-616)
"March 27, 1984",Marvel Super Heroes Secret Wars Vol 1 3,Thor Odinson (Earth-616)
"April 24, 1984",Marvel Super Heroes Secret Wars Vol 1 4,Thor Odinson (Earth-616)
"May 1, 1984",Thor Vol 1 346,Thor Odinson (Earth-616)
"May 22, 1984",Marvel Super Heroes Secret Wars Vol 1 5,Thor Odinson (Earth-616)
"May 29, 1984",Thor Vol 1 347,Thor Odinson (Earth-616)
"June 26, 1984",Marvel Super Heroes Secret Wars Vol 1 6,Thor Odinson (Earth-616)
"July 3, 1984",Thor Vol 1 348,Thor Odinson (Earth-616)
"July 10, 1984",Incredible Hulk Vol 1 300,Thor Odinson (Earth-616)
"August 7, 1984",Avengers Annual Vol 1 13,Thor Odinson (Earth-616)
"July 24, 1984",Marvel Super Heroes Secret Wars Vol 1 7,Thor Odinson (Earth-616)
"July 31, 1984",Thor Vol 1 349,Thor Odinson (Earth-616)
"August 7, 1984",Avengers Vol 1 249,Thor Odinson (Earth-616)
"August 7, 1984",Thor Annual Vol 1 12,Thor Odinson (Earth-616)
"August 28, 1984",Marvel Super Heroes Secret Wars Vol 1 8,Thor Odinson (Earth-616)
"September 18, 1984",Marvel Team-Up Vol 1 148,Thor Odinson (Earth-616)
"September 18, 1984",Thor Vol 1 350,Thor Odinson (Earth-616)
"September 25, 1984",Marvel Super Heroes Secret Wars Vol 1 9,Thor Odinson (Earth-616)
"October 16, 1984",Thor Vol 1 351,Thor Odinson (Earth-616)
"October 23, 1984",Marvel Super Heroes Secret Wars Vol 1 10,Thor Odinson (Earth-616)
"November 27, 1984",Marvel Super Heroes Secret Wars Vol 1 11,Thor Odinson (Earth-616)
"December 18, 1984",Thor Vol 1 353,Thor Odinson (Earth-616)
"December 25, 1984",Marvel Super Heroes Secret Wars Vol 1 12,Thor Odinson (Earth-616)
"January 15, 1985",Thor Vol 1 354,Thor Odinson (Earth-616)
"February 12, 1985",Thor Vol 1 355,Thor Odinson (Earth-616)
"March 19, 1985",Thor Vol 1 356,Thor Odinson (Earth-616)
"April 16, 1985",Thor Vol 1 357,Thor Odinson (Earth-616)
"May 10, 1985",Thor Vol 1 358,Thor Odinson (Earth-616)
"July 1, 1985",Marvel Age Annual Vol 1 1,Thor Odinson (Earth-616)
"June 18, 1985",Thor Vol 1 359,Thor Odinson (Earth-616)
"July 16, 1985",Marvel Graphic Novel Vol 1 17,Thor Odinson (Earth-616)
"July 16, 1985",Thor Vol 1 360,Thor Odinson (Earth-616)
"August 13, 1985",Secret Wars II Vol 1 5,Thor Odinson (Earth-616)
"August 13, 1985",Thor Vol 1 361,Thor Odinson (Earth-616)
"September 10, 1985",Thor Annual Vol 1 13,Thor Odinson (Earth-616)
"September 17, 1985",Thor Vol 1 362,Thor Odinson (Earth-616)
"October 1, 1985",Power Pack Vol 1 18,Thor Odinson (Earth-616)
"October 15, 1985",Thor Vol 1 363,Thor Odinson (Earth-616)
"November 12, 1985",Thor Vol 1 364,Thor Odinson (Earth-616)
"November 26, 1985",Squadron Supreme Vol 1 7,Thor Odinson (Earth-616)
"December 10, 1985",Marvel Saga the Official History of the Marvel Universe Vol 1 4,Thor Odinson (Earth-616)
"December 17, 1985",Secret Wars II Vol 1 9,Thor Odinson (Earth-616)
"December 17, 1985",Thor Vol 1 365,Thor Odinson (Earth-616)
"December 24, 1985",New Mutants Vol 1 38,Thor Odinson (Earth-616)
"January 7, 1986",Marvel Saga the Official History of the Marvel Universe Vol 1 5,Thor Odinson (Earth-616)
"February 11, 1986",Marvel Saga the Official History of the Marvel Universe Vol 1 6,Thor Odinson (Earth-616)
"January 14, 1986",Thor Vol 1 366,Thor Odinson (Earth-616)
"February 18, 1986",Thor Vol 1 367,Thor Odinson (Earth-616)
"March 18, 1986",Thor Vol 1 368,Thor Odinson (Earth-616)
"April 15, 1986",Thor Vol 1 369,Thor Odinson (Earth-616)
"April 22, 1986",Daredevil Vol 1 233,Thor Odinson (Earth-616)
"May 13, 1986",Thor Vol 1 370,Thor Odinson (Earth-616)
"June 10, 1986",Eternals Vol 2 12,Thor Odinson (Earth-616)
"June 17, 1986",Thor Vol 1 371,Thor Odinson (Earth-616)
"July 15, 1986",Thor Vol 1 372,Thor Odinson (Earth-616)
"July 15, 1986",West Coast Avengers Annual Vol 1 1,Thor Odinson (Earth-616)
"August 12, 1986",Thor Vol 1 373,Thor Odinson (Earth-616)
"September 16, 1986",Thor Vol 1 374,Thor Odinson (Earth-616)
"October 14, 1986",Thor Vol 1 375,Thor Odinson (Earth-616)
"November 11, 1986",Avengers Vol 1 276,Thor Odinson (Earth-616)
"November 18, 1986",Thor Vol 1 376,Thor Odinson (Earth-616)
"December 9, 1986",Avengers Vol 1 277,Thor Odinson (Earth-616)
"December 16, 1986",Thor Vol 1 377,Thor Odinson (Earth-616)
"December 23, 1986",X-Men vs Avengers Vol 1 1,Thor Odinson (Earth-616)
"January 6, 1987",Avengers Vol 1 278,Thor Odinson (Earth-616)
"January 13, 1987",Thor Vol 1 378,Thor Odinson (Earth-616)
"January 27, 1987",X-Men vs Avengers Vol 1 2,Thor Odinson (Earth-616)
"February 17, 1987",Thor Vol 1 379,Thor Odinson (Earth-616)
"February 10, 1987",Avengers Vol 1 279,Thor Odinson (Earth-616)
"February 24, 1987",X-Men vs Avengers Vol 1 3,Thor Odinson (Earth-616)
"March 17, 1987",Marvel Graphic Novel: Emperor Doom — Starring the Mighty Avengers Vol 1 1,Thor Odinson (Earth-616)
"March 17, 1987",Thor Vol 1 380,Thor Odinson (Earth-616)
"March 17, 1987",X-Factor Vol 1 17,Thor Odinson (Earth-616)
"March 24, 1987",X-Men vs Avengers Vol 1 4,Thor Odinson (Earth-616)
"March 31, 1987",Mephisto Vs.... Vol 1 4,Thor Odinson (Earth-616)
"April 7, 1987",Avengers Vol 1 281,Thor Odinson (Earth-616)
"April 14, 1987",Fantastic Four Vol 1 304,Thor Odinson (Earth-616)
"April 14, 1987",Thor Vol 1 381,Thor Odinson (Earth-616)
"May 5, 1987",Captain America Vol 1 332,Thor Odinson (Earth-616)
"May 12, 1987",Avengers Vol 1 282,Thor Odinson (Earth-616)
"May 19, 1987",Thor Vol 1 382,Thor Odinson (Earth-616)
"June 2, 1987",West Coast Avengers Annual Vol 1 2,Thor Odinson (Earth-616)
"June 9, 1987",Avengers Vol 1 283,Thor Odinson (Earth-616)
"June 9, 1987",Marvel Fanfare Vol 1 34,Thor Odinson (Earth-616)
"June 16, 1987",Thor Vol 1 383,Thor Odinson (Earth-616)
"June 23, 1987",Avengers Annual Vol 1 16,Thor Odinson (Earth-616)
"June 30, 1987",Web of Spider-Man Annual Vol 1 3,Thor Odinson (Earth-616)
"July 7, 1987",Avengers Vol 1 284,Thor Odinson (Earth-616)
"August 11, 1987",Avengers Vol 1 285,Thor Odinson (Earth-616)
"August 18, 1987",Thor Vol 1 385,Thor Odinson (Earth-616)
"September 15, 1987",Iron Man Vol 1 225,Thor Odinson (Earth-616)
"September 15, 1987",Thor Vol 1 386,Thor Odinson (Earth-616)
"October 13, 1988",Thor Vol 1 387,Thor Odinson (Earth-616)
"October 27, 1987",Thor Vol 1 388,Thor Odinson (Earth-616)
"October 13, 1987",Marvel Graphic Novel Vol 1 33,Thor Odinson (Earth-616)
"November 24, 1987",Thor Vol 1 389,Thor Odinson (Earth-616)
"December 15, 1987",Marvel Fanfare Vol 1 37,Thor Odinson (Earth-616)
"December 29, 1987",Thor Vol 1 390,Thor Odinson (Earth-616)
"January 19, 1988",Avengers Vol 1 291,Thor Odinson (Earth-616)
"January 26, 1988",Thor Vol 1 391,Thor Odinson (Earth-616)
"February 23, 1988",Thor Vol 1 392,Thor Odinson (Earth-616)
"February 16, 1988",Avengers Vol 1 292,Thor Odinson (Earth-616)
"March 15, 1988",Avengers Vol 1 293,Thor Odinson (Earth-616)
"March 22, 1988",Thor Vol 1 393,Thor Odinson (Earth-616)
"April 5, 1988",Nick Fury vs. S.H.I.E.L.D. Vol 1 2,Thor Odinson (Earth-616)
"April 12, 1988",Alpha Flight Vol 1 61,Thor Odinson (Earth-616)
"April 19, 1988",Avengers Vol 1 294,Thor Odinson (Earth-616)
"April 26, 1988",Thor Vol 1 394,Thor Odinson (Earth-616)
"May 17, 1988",Avengers Vol 1 295,Thor Odinson (Earth-616)
"May 24, 1988",Thor Vol 1 395,Thor Odinson (Earth-616)
"May 31, 1988",X-Factor Vol 1 32,Thor Odinson (Earth-616)
"June 14, 1988",Marvel Comics Presents Vol 1 4,Thor Odinson (Earth-616)
"June 21, 1988",Avengers Vol 1 296,Thor Odinson (Earth-616)
"June 28, 1988",Thor Vol 1 396,Thor Odinson (Earth-616)
"June 28, 1988",West Coast Avengers Annual Vol 1 3,Thor Odinson (Earth-616)
"July 19, 1988",Avengers Vol 1 297,Thor Odinson (Earth-616)
"July 26, 1988",Thor Vol 1 397,Thor Odinson (Earth-616)
"August 23, 1988",Thor Vol 1 398,Thor Odinson (Earth-616)
"September 27, 1988","Doctor Strange, Sorcerer Supreme Vol 1 2",Thor Odinson (Earth-616)
"September 27, 1988",Thor Vol 1 399,Thor Odinson (Earth-616)
"October 18, 1988",Avengers Vol 1 300,Thor Odinson (Earth-616)
"November 15, 1988",Avengers Vol 1 301,Thor Odinson (Earth-616)
"October 25, 1988",Thor Vol 1 400,Thor Odinson (Earth-616)
"December 20, 1988",Avengers Vol 1 302,Thor Odinson (Earth-616)
"November 22, 1988",Thor Vol 1 401,Thor Odinson (Earth-616)
"December 27, 1988",Thor Vol 1 402,Thor Odinson (Earth-616)
"January 17, 1989",Avengers Vol 1 303,Thor Odinson (Earth-616)
"January 17, 1989",Damage Control Vol 1 1,Thor Odinson (Earth-616)
"January 24, 1989",Thor Vol 1 403,Thor Odinson (Earth-616)
"February 7, 1989",West Coast Avengers Vol 2 45,Thor Odinson (Earth-616)
"February 21, 1989",Avengers Vol 1 304,Thor Odinson (Earth-616)
"February 28, 1989",Iron Man Vol 1 243,Thor Odinson (Earth-616)
"February 28, 1989",Thor Vol 1 404,Thor Odinson (Earth-616)
"March 21, 1989",Avengers Vol 1 305,Thor Odinson (Earth-616)
"March 21, 1989",Saga of the Sub-Mariner Vol 1 9,Thor Odinson (Earth-616)
"March 28, 1989",Thor Vol 1 405,Thor Odinson (Earth-616)
"April 18, 1989",Avengers Vol 1 306,Thor Odinson (Earth-616)
"April 25, 1989",Thor Vol 1 406,Thor Odinson (Earth-616)
"May 16, 1989",Avengers Vol 1 307,Thor Odinson (Earth-616)
"May 23, 1989",Mighty Thor Vol 1 407,Thor Odinson (Earth-616)
"June 6, 1989",Avengers Annual Vol 1 18,Thor Odinson (Earth-616)
"June 20, 1989",Avengers Vol 1 308,Thor Odinson (Earth-616)
"June 20, 1989",Saga of the Sub-Mariner Vol 1 12,Thor Odinson (Earth-616)
"June 20, 1989",X-Factor Annual Vol 1 4,Thor Odinson (Earth-616)
"June 27, 1989",Mighty Thor Vol 1 408,Thor Odinson (Earth-616)
"July 4, 1989",West Coast Avengers Annual Vol 1 4,Thor Odinson (Earth-616)
"July 11, 1989",Thor Annual Vol 1 14,Thor Odinson (Earth-616)
"July 18, 1989",Avengers Vol 1 309,Thor Odinson (Earth-616)
"July 18, 1989",Fantastic Four Annual Vol 1 22,Thor Odinson (Earth-616)
"July 25, 1989",Mighty Thor Vol 1 409,Thor Odinson (Earth-616)
"August 15, 1989",Avengers Vol 1 310,Thor Odinson (Earth-616)
"August 22, 1989",Fantastic Four Vol 1 333,Thor Odinson (Earth-616)
"August 22, 1989",Mighty Thor Vol 1 410,Thor Odinson (Earth-616)
"September 26, 1989",Damage Control Vol 2 1,Thor Odinson (Earth-616)
"September 26, 1989",Fantastic Four Vol 1 334,Thor Odinson (Earth-616)
"September 26, 1989",Mighty Thor Vol 1 411,Thor Odinson (Earth-616)
"October 24, 1989",Mighty Thor Vol 1 412,Thor Odinson (Earth-616)
"October 24, 1989",Mutant Misadventures of Cloak and Dagger Vol 1 9,Thor Odinson (Earth-616)
"November 7, 1989",Captain America Vol 1 366,Thor Odinson (Earth-616)
"November 21, 1989",Avengers Vol 1 313,Thor Odinson (Earth-616)
"November 21, 1989",Punisher Vol 2 29,Thor Odinson (Earth-616)
"November 28, 1989",Mighty Thor Vol 1 413,Thor Odinson (Earth-616)
"December 5, 1989",Avengers West Coast Vol 1 55,Thor Odinson (Earth-616)
"December 12, 1989",Avengers Spotlight Vol 1 29,Thor Odinson (Earth-616)
"December 19, 1989",Avengers Vol 1 314,Thor Odinson (Earth-616)
"December 26, 1989",Damage Control Vol 2 4,Thor Odinson (Earth-616)
"December 26, 1989",Fantastic Four Vol 1 337,Thor Odinson (Earth-616)
"December 26, 1989",Mighty Thor Vol 1 414,Thor Odinson (Earth-616)
"December 26, 1989",Marvel Comics Presents Vol 1 44,Thor Odinson (Earth-616)
"January 9, 1990",Marvel Comics Presents Vol 1 45,Thor Odinson (Earth-616)
"January 16, 1990",Avengers Vol 1 315,Thor Odinson (Earth-616)
"January 23, 1990",Fantastic Four Vol 1 338,Thor Odinson (Earth-616)
"January 23, 1990",Mighty Thor Vol 1 415,Thor Odinson (Earth-616)
"February 20, 1990",Silver Surfer: The Enslavers Vol 1 1,Thor Odinson (Earth-616)
"February 20, 1990",Avengers Vol 1 316,Thor Odinson (Earth-616)
"February 27, 1990",Fantastic Four Vol 1 339,Thor Odinson (Earth-616)
"February 27, 1990",Mighty Thor Vol 1 416,Thor Odinson (Earth-616)
"March 13, 1990",Saga of the Original Human Torch Vol 1 2,Thor Odinson (Earth-616)
"March 20, 1990",Avengers Vol 1 317,Thor Odinson (Earth-616)
"March 27, 1990",Fantastic Four Vol 1 340,Thor Odinson (Earth-616)
"March 27, 1990",Mighty Thor Vol 1 417,Thor Odinson (Earth-616)
"April 3, 1990",Black Knight Vol 2 1,Thor Odinson (Earth-616)
"April 17, 1990",Avengers Vol 1 318,Thor Odinson (Earth-616)
"April 24, 1990",Fantastic Four Vol 1 341,Thor Odinson (Earth-616)
"April 24, 1990",Mighty Thor Vol 1 418,Thor Odinson (Earth-616)
"May 22, 1990",Mighty Thor Vol 1 419,Thor Odinson (Earth-616)
"June 12, 1990",Mighty Thor Vol 1 420,Thor Odinson (Earth-616)
"June 26, 1990",Mighty Thor Vol 1 421,Thor Odinson (Earth-616)
